team,expected_goals_1,expected_goals_2,expected_goals_3,expected_goals_4,expected_goals_5,expected_goals_6,expected_goals_7,expected_goals_8,expected_goals_9,expected_goals_10,expected_goals_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1.46,0.0,0.43,1.43,1.28,2.12,0.9199999999999999,0.81,1.71,0.43,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,2.7300000000000004,0.6799999999999999,1.2,2.37,0.42,1.45,3.6399999999999997,2.37,0.92,0.65,1.4400000000000002
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,1.17,1.3599999999999999,1.2400000000000002,0.7100000000000001,0.53,1.55,0.34,0.53,2.43,0.2,0.1
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
10.0,1.48,0.45999999999999996,0.43,1.5699999999999998,0.8300000000000001,0.5700000000000001,0.86,2.06,1.0,0.7,0.8400000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
6.0,0.29000000000000004,0.0,0.67,1.06,0.53,1.08,0.5800000000000001,0.37,1.0699999999999998,0.88,1.1199999999999999
18.0,1.28,1.81,2.12,2.27,1.87,0.8600000000000001,2.1,1.99,1.51,1.0999999999999999,0.9600000000000001
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,1.46,1.99,2.93,0.96,0.96,0.9,1.69,1.48,1.02,1.0899999999999999,0.64
18.0,1.28,1.81,2.12,2.27,1.87,0.8600000000000001,2.1,1.99,1.51,1.0999999999999999,0.9600000000000001
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
2.0,1.91,3.12,2.41,0.8200000000000001,3.17,0.83,1.7200000000000002,1.51,2.2199999999999998,1.8,1.09
18.0,1.28,1.81,2.12,2.27,1.87,0.8600000000000001,2.1,1.99,1.51,1.0999999999999999,0.9600000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.28,1.81,2.12,2.27,1.87,0.8600000000000001,2.1,1.99,1.51,1.0999999999999999,0.9600000000000001
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
17.0,0.49,0.49000000000000005,0.58,0.6799999999999999,0.24000000000000002,0.47,0.77,0.55,1.1300000000000001,0.0,0.87
19.0,1.06,1.76,2.42,1.07,0.37,1.1,2.11,1.07,1.05,0.6699999999999999,1.3599999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,1.17,1.3599999999999999,1.2400000000000002,0.7100000000000001,0.53,1.55,0.34,0.53,2.43,0.2,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,1.46,1.99,2.93,0.96,0.96,0.9,1.69,1.48,1.02,1.0899999999999999,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
2.0,1.91,3.12,2.41,0.8200000000000001,3.17,0.83,1.7200000000000002,1.51,2.2199999999999998,1.8,1.09
20.0,2.27,2.36,1.1600000000000001,1.34,0.59,0.63,0.44,1.19,2.1100000000000003,0.98,1.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.91,3.12,2.41,0.8200000000000001,3.17,0.83,1.7200000000000002,1.51,2.2199999999999998,1.8,1.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
5.0,4.12,2.3,1.56,1.58,1.26,1.37,1.01,2.21,0.62,0.98,0.55
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.29000000000000004,0.0,0.67,1.06,0.53,1.08,0.5800000000000001,0.37,1.0699999999999998,0.88,1.1199999999999999
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
4.0,2.0100000000000002,3.8,0.97,3.2800000000000002,0.52,1.03,1.36,0.91,2.36,2.16,0.85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1.28,2.44,2.1,2.06,1.7000000000000002,1.15,1.72,0.6900000000000001,0.4,1.18,3.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
17.0,0.49,0.49000000000000005,0.58,0.6799999999999999,0.24000000000000002,0.47,0.77,0.55,1.1300000000000001,0.0,0.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,1.06,1.76,2.42,1.07,0.37,1.1,2.11,1.07,1.05,0.6699999999999999,1.3599999999999999
20.0,2.27,2.36,1.1600000000000001,1.34,0.59,0.63,0.44,1.19,2.1100000000000003,0.98,1.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
10.0,1.48,0.45999999999999996,0.43,1.5699999999999998,0.8300000000000001,0.5700000000000001,0.86,2.06,1.0,0.7,0.8400000000000001
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.28,1.81,2.12,2.27,1.87,0.8600000000000001,2.1,1.99,1.51,1.0999999999999999,0.9600000000000001
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.3699999999999999,1.3599999999999999,0.68,2.02,1.19,1.38,0.68,0.72,0.61,1.08,0.49
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0100000000000002,3.8,0.97,3.2800000000000002,0.52,1.03,1.36,0.91,2.36,2.16,0.85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
13.0,2.21,1.09,3.5300000000000002,2.2600000000000002,4.0200000000000005,1.52,0.78,1.43,1.5899999999999999,4.44,2.75
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
12.0,1.46,0.0,0.43,1.43,1.28,2.12,0.9199999999999999,0.81,1.71,0.43,0.81
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
14.0,1.46,1.99,2.93,0.96,0.96,0.9,1.69,1.48,1.02,1.0899999999999999,0.64
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
20.0,2.27,2.36,1.1600000000000001,1.34,0.59,0.63,0.44,1.19,2.1100000000000003,0.98,1.15
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
5.0,4.12,2.3,1.56,1.58,1.26,1.37,1.01,2.21,0.62,0.98,0.55
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
19.0,1.06,1.76,2.42,1.07,0.37,1.1,2.11,1.07,1.05,0.6699999999999999,1.3599999999999999
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0100000000000002,3.8,0.97,3.2800000000000002,0.52,1.03,1.36,0.91,2.36,2.16,0.85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.91,3.12,2.41,0.8200000000000001,3.17,0.83,1.7200000000000002,1.51,2.2199999999999998,1.8,1.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.49,0.49000000000000005,0.58,0.6799999999999999,0.24000000000000002,0.47,0.77,0.55,1.1300000000000001,0.0,0.87
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
2.0,1.91,3.12,2.41,0.8200000000000001,3.17,0.83,1.7200000000000002,1.51,2.2199999999999998,1.8,1.09
16.0,1.17,1.3599999999999999,1.2400000000000002,0.7100000000000001,0.53,1.55,0.34,0.53,2.43,0.2,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.12,2.3,1.56,1.58,1.26,1.37,1.01,2.21,0.62,0.98,0.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.91,3.12,2.41,0.8200000000000001,3.17,0.83,1.7200000000000002,1.51,2.2199999999999998,1.8,1.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,1.17,1.3599999999999999,1.2400000000000002,0.7100000000000001,0.53,1.55,0.34,0.53,2.43,0.2,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
10.0,1.48,0.45999999999999996,0.43,1.5699999999999998,0.8300000000000001,0.5700000000000001,0.86,2.06,1.0,0.7,0.8400000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.28,1.81,2.12,2.27,1.87,0.8600000000000001,2.1,1.99,1.51,1.0999999999999999,0.9600000000000001
18.0,1.28,1.81,2.12,2.27,1.87,0.8600000000000001,2.1,1.99,1.51,1.0999999999999999,0.9600000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
12.0,1.46,0.0,0.43,1.43,1.28,2.12,0.9199999999999999,0.81,1.71,0.43,0.81
20.0,2.27,2.36,1.1600000000000001,1.34,0.59,0.63,0.44,1.19,2.1100000000000003,0.98,1.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,1.06,1.76,2.42,1.07,0.37,1.1,2.11,1.07,1.05,0.6699999999999999,1.3599999999999999
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
17.0,0.49,0.49000000000000005,0.58,0.6799999999999999,0.24000000000000002,0.47,0.77,0.55,1.1300000000000001,0.0,0.87
8.0,2.0,1.0699999999999998,0.8099999999999999,2.17,1.17,0.3,0.81,0.7999999999999999,1.22,0.66,1.3199999999999998
10.0,1.48,0.45999999999999996,0.43,1.5699999999999998,0.8300000000000001,0.5700000000000001,0.86,2.06,1.0,0.7,0.8400000000000001
14.0,1.46,1.99,2.93,0.96,0.96,0.9,1.69,1.48,1.02,1.0899999999999999,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.27,3.09,0.95,2.48,2.55,3.04,1.37,1.7,2.1999999999999997,3.01,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
