team,expected_goals_conceded_1,expected_goals_conceded_2,expected_goals_conceded_3,expected_goals_conceded_4,expected_goals_conceded_5,expected_goals_conceded_6,expected_goals_conceded_7,expected_goals_conceded_8,expected_goals_conceded_9,expected_goals_conceded_10,expected_goals_conceded_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
10.0,2.73,6.46,3.92,2.26,1.28,0.3,1.73,0.57,1.51,1.32,0.69
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,2.02,1.99,0.67,1.35,1.16,2.08,1.34,1.58,1.03,1.15,7.77
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.07,3.08,2.06,3.29,1.71,1.87,3.47,2.71,3.4,0.88,1.88
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.26,0.46,0.8,2.02,1.43,1.84,0.69,1.43,1.36,2.03,2.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
13.0,0.3,0.29,0.73,1.45,1.25,3.07,1.67,0.56,0.98,2.16,0.94
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
12.0,4.1,,2.09,1.06,0.98,0.59,2.9,1.99,2.97,2.39,3.04
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
14.0,2.27,1.8,1.24,2.27,1.89,1.12,0.81,0.95,2.97,3.94,3.04
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
20.0,1.46,2.27,1.2,2.13,2.55,2.17,0.87,2.24,0.61,2.17,1.06
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
5.0,1.45,2.06,3.33,1.3,0.96,1.37,1.58,2.49,1.06,0.71,0.94
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
19.0,1.37,2.63,1.52,1.43,3.63,3.06,1.07,1.95,2.02,0.82,1.4
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.26,0.46,0.8,2.02,1.43,1.84,0.69,1.43,1.36,2.03,2.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.44,0.68,0.73,2.49,1.87,3.94,1.71,1.81,1.15,1.37,1.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,2.01,1.36,3.52,2.59,1.87,3.94,2.14,2.14,1.05,2.78,1.33
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
2.0,3.44,0.68,0.73,2.49,1.87,3.94,1.71,1.81,1.15,1.37,1.33
16.0,0.83,0.51,3.83,2.13,0.56,1.91,2.75,0.81,1.71,2.95,1.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.45,2.06,3.33,1.3,0.96,1.37,1.58,2.49,1.06,0.71,0.94
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.44,0.68,0.73,2.49,1.87,3.94,1.71,1.81,1.15,1.37,1.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.83,0.51,3.83,2.13,0.56,1.91,2.75,0.81,1.71,2.95,1.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
10.0,2.73,6.46,3.92,2.26,1.28,0.3,1.73,0.57,1.51,1.32,0.69
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,2.02,1.99,0.67,1.35,1.16,2.08,1.34,1.58,1.03,1.15,7.77
18.0,2.02,1.99,0.67,1.35,1.16,2.08,1.34,1.58,1.03,1.15,7.77
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
12.0,4.1,,2.09,1.06,0.98,0.59,2.9,1.99,2.97,2.39,3.04
20.0,1.46,2.27,1.2,2.13,2.55,2.17,0.87,2.24,0.61,2.17,1.06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,1.37,2.63,1.52,1.43,3.63,3.06,1.07,1.95,2.02,0.82,1.4
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
17.0,2.01,1.36,3.52,2.59,1.87,3.94,2.14,2.14,1.05,2.78,1.33
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
10.0,2.73,6.46,3.92,2.26,1.28,0.3,1.73,0.57,1.51,1.32,0.69
14.0,2.27,1.8,1.24,2.27,1.89,1.12,0.81,0.95,2.97,3.94,3.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,2.27,1.8,1.24,2.27,1.89,1.12,0.81,0.95,2.97,3.94,3.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1.46,2.27,1.2,2.13,2.55,2.17,0.87,2.24,0.61,2.17,1.06
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.3,0.29,0.73,1.45,1.25,3.07,1.67,0.56,0.98,2.16,0.94
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,1.37,2.63,1.52,1.43,3.63,3.06,1.07,1.95,2.02,0.82,1.4
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,4.1,,2.09,1.06,0.98,0.59,2.9,1.99,2.97,2.39,3.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.28,2.38,3.47,0.66,0.63,1.11,4.17,2.3,0.13,0.45,0.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.49,2.0,0.97,1.34,3.21,0.59,1.69,1.18,2.39,1.12,1.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.79,0.53,0.96,0.93,1.5,0.69,0.55,1.36,0.03,1.09,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
