name,team,position,opponent_team_1,opponent_team_2,opponent_team_3,opponent_team_4,opponent_team_5,opponent_team_6,opponent_team_7,opponent_team_8,opponent_team_9,opponent_team_10,opponent_team_11
Aaron Cresswell,19.0,DEF,13.0,16.0,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0
Aaron Hickey,4.0,DEF,10.0,14.0,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0
Aaron Ramsdale,1.0,GK,7.0,10.0,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0
Aaron Wan-Bissaka,14.0,DEF,5.0,4.0,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0
Abdoulaye DoucourÃ©,8.0,MID,6.0,2.0,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0
Adam Armstrong,17.0,FWD,18.0,11.0,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0
Adam Forshaw,10.0,MID,20.0,17.0,6.0,5.0,8.0,4.0,,16.0,2.0,7.0,1.0
Adam Lallana,5.0,MID,14.0,15.0,19.0,11.0,9.0,10.0,,19.0,12.0,18.0,4.0
Adam Smith,3.0,DEF,2.0,13.0,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0
Adam Webster,5.0,DEF,14.0,15.0,19.0,11.0,9.0,10.0,,19.0,12.0,18.0,4.0
Adama TraorÃ© Diarra,20.0,MID,11.0,9.0,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0
AdriÃ¡n San Miguel del Castillo,12.0,GK,9.0,7.0,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0
Ainsley Maitland-Niles,1.0,MID,7.0,10.0,3.0,9.0,2.0,20.0,,2.0,8.0,13.0,19.0
Albert Sambi Lokonga,1.0,MID,7.0,10.0,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0
Alejandro Garnacho,14.0,MID,5.0,4.0,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0
Aleksandar MitroviÄ,9.0,FWD,12.0,20.0,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0
Alex Iwobi,8.0,MID,6.0,2.0,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0
Alex McCarthy,17.0,GK,18.0,11.0,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0
Alex Mighten,16.0,MID,15.0,19.0,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0
Alex Oxlade-Chamberlain,12.0,MID,9.0,7.0,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0
Alex Robertson,,,,,,,,,,,,,
Alex Smithies,,,,,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0
Alex Telles,14.0,DEF,5.0,4.0,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0
Alexander Isak,,,,,,20.0,12.0,7.0,,3.0,9.0,4.0,14.0
Alexandre Moreno Lopera,,,,,,,,,,,,,
Alexis Mac Allister,5.0,MID,14.0,15.0,19.0,11.0,9.0,10.0,,19.0,12.0,18.0,4.0
Alfie Devine,18.0,MID,17.0,6.0,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0
Alfie Gilchrist,,,,,,,,,,,,,
Alisson Ramses Becker,12.0,GK,9.0,7.0,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0
